host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,has_reviews,first_review_missing,last_review_missing,days_since_first_review,days_since_last_review,has_availability_miss,superhost_missing,host_tenure_days,last_scraped_collected_days
within an hour,100.0,88.0,1,8,13,1,1,FIFTEENTH WARD,42.675,-73.82382,Entire home,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""Game console"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Washer"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Single level home"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Ethernet connection"", ""Self check-in"", ""TV with standard cable"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""BBQ grill"", ""Shampoo"", ""First aid kit"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Room-darkening shades"", ""Outdoor dining area"", ""Fire extinguisher"", ""Central air conditioning"", ""Free street parking"", ""Iron"", ""Dryer \u2013\u00a0In unit"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Pack \u2019n play/Travel crib""]",177.0,1,1125,1,2,1125,1125,1.3,1125.0,1,27,54,84,359,86,28,1,82,8,168,29736.0,4.94,4.94,4.85,4.94,4.94,4.84,4.77,0,8,0.89,1,0,0,2960,72,0,0,4745,50
within an hour,100.0,100.0,1,2,2,1,1,SEVENTH WARD,42.64939,-73.76865,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Bathtub"", ""Private entrance"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Wifi \u2013 49 Mbps"", ""Lockbox"", ""Books and reading material"", ""Hot water"", ""Park view"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Gas stove"", ""Central heating"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Conditioner"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Clothing storage: closet and dresser"", ""HDTV with Amazon Prime Video, Netflix, DVD player"", ""Free street parking"", ""Drying rack for clothing"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Fully fenced""]",116.0,2,1125,2,2,1125,1125,2.0,1125.0,1,24,54,84,352,131,0,0,82,1,0,0.0,4.91,4.93,4.93,4.98,4.96,4.89,4.87,0,2,1.43,1,0,0,2800,561,0,0,3524,50
within an hour,100.0,100.0,1,8,8,1,1,NINTH WARD,42.65532,-73.78244,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Coffee maker: Keurig coffee machine"", ""Air conditioning"", ""Heating"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Ethernet connection"", ""Self check-in"", ""TV with standard cable"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Shampoo"", ""First aid kit"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Dryer"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace""]",68.0,2,365,2,2,1125,1125,2.0,1125.0,1,0,0,0,273,48,5,0,0,6,30,2040.0,4.92,4.92,4.94,4.94,4.98,4.92,4.88,0,8,0.49,1,0,0,2996,189,0,0,3334,50
within an hour,100.0,90.0,1,13,15,1,1,THIRTEENTH WARD,42.66565,-73.77975,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Bathtub"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""TV with Roku"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Clothing storage: walk-in closet"", ""Cooking basics"", ""Essentials"", ""Keypad"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Central heating"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Free dryer \u2013 In unit"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Radiant heating"", ""Fire extinguisher"", ""Freezer"", ""Blender"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed""]",43.0,18,1125,18,18,1125,1125,18.0,1125.0,1,0,25,55,330,47,5,0,53,3,180,7740.0,4.79,4.85,4.72,4.98,4.96,4.66,4.68,1,3,0.53,1,0,0,2704,85,0,0,3081,50
within an hour,100.0,100.0,1,8,8,1,1,NINTH WARD,42.65372,-73.78244,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Coffee maker: Keurig coffee machine"", ""Heating"", ""Private entrance"", ""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Portable fans"", ""Paid washer \u2013 In building"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Private backyard \u2013 Fully fenced"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Ethernet connection"", ""Self check-in"", ""TV with standard cable"", ""Cleaning products"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Conditioner"", ""Toaster"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Free parking on premises"", ""Stove"", ""Outdoor dining area"", ""Fire extinguisher"", ""Freezer"", ""Clothing storage: closet and dresser"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Portable air conditioning""]",60.0,2,730,2,2,730,730,2.0,730.0,1,7,30,60,272,136,14,3,57,17,84,5040.0,4.85,4.89,4.84,4.91,4.93,4.88,4.83,0,8,1.42,1,0,0,2926,57,0,0,3334,49
within an hour,100.0,88.0,1,8,13,1,1,FIFTEENTH WARD,42.67547,-73.82402,Entire home,Entire home/apt,10,1.0,1 bath,4.0,5.0,"[""Wine glasses"", ""Heating"", ""Private entrance"", ""Baby bath - available upon request"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Free parking on premises"", ""Dishwasher"", ""Sound system"", ""Outdoor furniture"", ""Cooking basics"", ""Exterior security cameras on property"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Private backyard"", ""Self check-in"", ""Smart lock"", ""Hammock"", ""Children\u2019s bikes"", ""Baking sheet"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Toaster"", ""BBQ grill"", ""Shampoo"", ""Clothing storage"", ""Body soap"", ""Hangers"", ""Crib"", ""Smoke alarm"", ""Dryer"", ""Changing table - available upon request"", ""First aid kit"", ""Stove"", ""Room-darkening shades"", ""Ceiling fan"", ""Outdoor dining area"", ""Fire extinguisher"", ""Washer \u2013\u00a0In unit"", ""Central air conditioning"", ""Freezer"", ""Bidet"", ""Blender"", ""Barbecue utensils"", ""Iron"", ""Board games"", ""Luggage dropoff allowed"", ""HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable, Roku"", ""Hair dryer"", ""Dedicated workspace"", ""Mini fridge"", ""Pack \u2019n play/Travel crib"", ""Private patio or balcony""]",749.0,4,1125,4,4,1125,1125,4.0,1125.0,1,30,60,90,365,9,1,0,87,0,8,5992.0,5.0,5.0,5.0,5.0,4.89,5.0,4.78,0,8,0.09,1,0,0,2891,111,0,0,4745,49
within an hour,100.0,99.0,1,9,17,1,1,TENTH WARD,42.66045,-73.77833,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Heating"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Ethernet connection"", ""Self check-in"", ""Building staff"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""TV"", ""Toaster"", ""Window AC unit"", ""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Ceiling fan"", ""Coffee"", ""Cleaning available during stay"", ""Freezer"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed""]",69.0,3,730,3,3,730,730,3.0,730.0,1,21,48,78,353,183,11,0,75,21,66,4554.0,4.75,4.85,4.77,4.91,4.98,4.55,4.75,0,9,1.91,1,0,0,2919,116,0,0,2977,49
within an hour,100.0,90.0,1,13,15,1,1,ELEVENTH WARD,42.66572,-73.77834,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Bathtub"", ""Clothing storage: closet"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Free dryer \u2013 In unit"", ""TV"", ""Toaster"", ""Window AC unit"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Radiant heating"", ""Fire extinguisher"", ""Freezer"", ""Blender"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Fully fenced""]",32.0,18,1125,18,18,1125,1125,18.0,1125.0,1,18,28,58,310,34,6,0,55,9,216,6912.0,4.76,4.74,4.65,4.97,4.94,4.59,4.65,1,3,0.36,1,0,0,2888,86,0,0,3081,49
within an hour,100.0,90.0,1,13,15,1,1,ELEVENTH WARD,42.66703,-73.77842,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Bathtub"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker: drip coffee maker"", ""Dishwasher"", ""Shared patio or balcony"", ""Outdoor furniture"", ""Clothing storage: walk-in closet"", ""Cooking basics"", ""Essentials"", ""Keypad"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Microwave"", ""Wifi"", ""Dining table"", ""Self check-in"", ""Hammock"", ""Cleaning products"", ""Free washer \u2013 In unit"", ""Baking sheet"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Free dryer \u2013 In unit"", ""TV"", ""Toaster"", ""Window AC unit"", ""First aid kit"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Radiant heating"", ""Fire extinguisher"", ""Freezer"", ""Blender"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Fully fenced""]",42.0,20,730,20,20,1125,1125,20.0,1125.0,1,7,37,67,342,26,3,0,64,4,120,5040.0,4.77,4.65,4.58,4.96,5.0,4.69,4.73,1,3,0.27,1,0,0,2900,304,0,0,3081,49
within an hour,100.0,100.0,1,8,8,1,1,NINTH WARD,42.65501,-73.78122,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Self check-in"", ""TV with standard cable"", ""Cleaning products"", ""Patio or balcony"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Conditioner"", ""Window AC unit"", ""Shampoo"", ""First aid kit"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Dryer"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace""]",72.0,2,1125,2,2,1125,1125,2.0,1125.0,1,1,12,42,317,129,15,1,40,14,90,6480.0,4.91,4.91,4.92,4.98,4.94,4.93,4.84,0,8,1.37,1,0,0,2872,76,0,0,3334,50
within an hour,100.0,100.0,1,8,8,1,1,NINTH WARD,42.65431,-73.78178,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,"[""Heating"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Self check-in"", ""TV with standard cable"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Window AC unit"", ""Shampoo"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Dryer"", ""Stove"", ""Pocket wifi"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Backyard"", ""Hair dryer"", ""Dedicated workspace""]",72.0,2,730,2,2,730,730,2.0,730.0,1,12,31,61,323,54,9,1,58,7,54,3888.0,4.93,4.96,4.93,4.94,4.96,4.94,4.83,0,8,0.64,1,0,0,2599,65,0,0,3334,49
within a few hours,100.0,76.0,0,1,1,1,1,SIXTH WARD,42.65345,-73.7645,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,3.0,"[""Wine glasses"", ""Private entrance"", ""Coffee maker"", ""Clothing storage: closet"", ""Private backyard \u2013 Not fully fenced"", ""Dishes and silverware"", ""Portable fans"", ""Kitchenette"", ""Outdoor furniture"", ""Essentials"", ""Lockbox"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Microwave"", ""Self check-in"", ""Central heating"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Conditioner"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Smoke alarm"", ""Hangers"", ""Dr. Bronner body soap"", ""32 inch HDTV with HBO Max, Roku, standard cable, Hulu, Amazon Prime Video, Netflix"", ""AC - split type ductless system"", ""Room-darkening shades"", ""Outdoor dining area"", ""Fire extinguisher"", ""Coffee"", ""Paid parking lot off premises"", ""Free street parking"", ""Iron"", ""Mini fridge"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Private patio or balcony""]",121.0,1,1125,1,1,1125,1125,1.0,1125.0,1,11,40,70,159,962,96,2,67,133,255,30855.0,4.9,4.94,4.9,4.97,4.95,4.92,4.92,0,1,10.78,1,0,0,2725,68,0,0,4411,49
unknown,100.0,98.0,0,1,1,1,1,SIXTH WARD,42.65403,-73.76325,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Washer"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Exterior security cameras on property"", ""Hot water"", ""Microwave"", ""Shower gel"", ""Kitchen"", ""Wifi"", ""Self check-in"", ""Cleaning products"", ""Carbon monoxide alarm"", ""TV"", ""Conditioner"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Smoke alarm"", ""Hangers"", ""Free parking on premises"", ""Dryer"", ""Stove"", ""Fire extinguisher"", ""Free street parking"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",81.0,2,1125,2,2,1125,1125,2.0,1125.0,1,21,51,81,346,154,32,2,79,22,192,15552.0,4.85,4.93,4.83,4.97,4.99,4.95,4.81,0,1,1.76,1,0,0,2668,63,0,0,4550,50
within an hour,100.0,100.0,1,8,8,1,1,NINTH WARD,42.6543083190918,-73.78177642822266,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Wine glasses"", ""Coffee maker"", ""Oven"", ""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Outdoor furniture"", ""Cooking basics"", ""Keypad"", ""Essentials"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Dining table"", ""Self check-in"", ""TV with standard cable"", ""Cleaning products"", ""Patio or balcony"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""Paid washer"", ""Toaster"", ""Window AC unit"", ""First aid kit"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Radiant heating"", ""Outdoor dining area"", ""Fire extinguisher"", ""Freezer"", ""Free street parking"", ""Iron"", ""Backyard"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dedicated workspace"", ""Mini fridge""]",76.0,2,1125,2,2,1125,1125,2.0,1125.0,1,11,41,71,346,30,6,0,69,5,36,2736.0,5.0,5.0,4.93,5.0,5.0,4.93,4.93,0,8,0.37,1,0,0,2464,97,0,0,3334,50
within a few hours,100.0,67.0,0,1,2,1,1,EIGHTH WARD,42.64514,-73.80668,Entire home,Entire home/apt,4,1.5,1.5 baths,2.0,5.0,"[""Air conditioning"", ""Bathtub"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Garden view"", ""Dishwasher"", ""Washer"", ""Sound system"", ""Indoor fireplace"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Fireplace guards"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""TV"", ""Free parking on premises"", ""Hangers"", ""Smoke alarm"", ""Exercise equipment"", ""Dryer"", ""Stove"", ""Room-darkening shades"", ""Fire extinguisher"", ""Children\u2019s books and toys"", ""Gym"", ""Iron"", ""Backyard"", ""Hair dryer""]",250.0,3,30,3,3,30,30,3.0,30.0,1,29,59,89,179,16,2,0,87,0,12,3000.0,4.94,5.0,4.75,5.0,4.88,5.0,5.0,0,1,0.19,1,0,0,2594,113,0,0,2689,50
within an hour,100.0,78.0,1,1,5,1,1,SIXTH WARD,42.65821,-73.76917,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Bathtub"", ""Heating"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Portable fans"", ""Cooking basics"", ""Essentials"", ""Books and reading material"", ""Hot water"", ""Bed linens"", ""Extra pillows and blankets"", ""Kitchen"", ""Wifi"", ""Microwave"", ""Dining table"", ""Host greets you"", ""Cleaning products"", ""Hot water kettle"", ""Conditioner"", ""Toaster"", ""Shampoo"", ""First aid kit"", ""Body soap"", ""Smoke alarm"", ""Hangers"", ""Stove"", ""Room-darkening shades"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Iron"", ""Hair dryer"", ""Dedicated workspace""]",107.0,1,1125,1,1,1125,1125,1.0,1125.0,1,26,56,86,361,102,22,2,84,30,132,14124.0,4.95,4.95,4.97,4.99,5.0,4.96,4.94,0,1,1.19,1,0,0,2617,50,0,0,3604,50
within a few hours,90.0,89.0,1,3,3,1,0,NINTH WARD,42.65464,-73.78348,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Air conditioning"", ""Heating"", ""Coffee maker"", ""Dishes and silverware"", ""Refrigerator"", ""Washer"", ""Cooking basics"", ""Essentials"", ""Hot water"", ""Microwave"", ""Kitchen"", ""Wifi"", ""Self check-in"", ""Smart lock"", ""Carbon monoxide alarm"", ""Lock on bedroom door"", ""TV"", ""Shampoo"", ""Free parking on premises"", ""Smoke alarm"", ""Hangers"", ""Dryer"", ""Free street parking"", ""Iron"", ""Private living room"", ""Hair dryer""]",51.0,1,730,1,2,730,730,1.3,730.0,1,0,3,21,201,272,9,0,19,28,54,2754.0,4.96,4.97,4.97,4.96,4.97,4.96,4.96,0,3,3.25,1,0,0,2563,149,0,0,4219,50
within an hour,100.0,99.0,1,19,21,1,1,SECOND WARD,42.64535,-73.75365,Entire loft,Entire home/apt,5,1.0,1 bath,1.0,2.0,"[""Coffee maker: Keurig coffee machine"", ""Game console"", ""Heating"", ""Private entrance"", ""Paid parking off premises"", ""Clothing storage: closet"", ""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Paid parking on premises"", ""Kitchenette"", ""Shared patio or balcony"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Free washer \u2013 In building"", ""Wifi"", ""Ethernet connection"", ""Microwave"", ""Dining table"", ""Self check-in"", ""Smart lock"", ""Induction stove"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Conditioner"", ""Toaster"", ""Laundromat nearby"", ""Window AC unit"", ""Shampoo"", ""Noise decibel monitors on property"", ""Body soap"", ""Crib"", ""Hangers"", ""Smoke alarm"", ""First aid kit"", ""Ceiling fan"", ""Fire extinguisher"", ""Bidet"", ""Free street parking"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Iron"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Dedicated workspace"", ""Mini fridge"", ""HDTV with Amazon Prime Video, Hulu, Netflix"", ""Portable air conditioning"", ""Shared backyard \u2013 Fully fenced""]",95.0,1,28,1,3,1125,1125,2.2,1125.0,1,17,45,75,350,719,64,8,73,60,255,24225.0,4.8,4.87,4.84,4.87,4.91,4.71,4.81,0,11,8.6,1,0,0,2556,55,0,0,3721,50
within an hour,100.0,99.0,1,19,21,1,1,SECOND WARD,42.64535,-73.75365,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Coffee maker: Keurig coffee machine"", ""Wine glasses"", ""Paid parking garage off premises"", ""Heating"", ""Private entrance"", ""Paid dryer \u2013 In building"", ""Dishes and silverware"", ""Refrigerator"", ""Paid parking on premises"", ""Shared patio or balcony"", ""Cooking basics"", ""Essentials"", ""Exterior security cameras on property"", ""Hot water"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Free washer \u2013 In building"", ""42 inch HDTV with Amazon Prime Video, Chromecast, Fire TV"", ""Wifi"", ""Kitchen"", ""Microwave"", ""Dining table"", ""Cleaning products"", ""Self check-in"", ""Smart lock"", ""Hot water kettle"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Conditioner"", ""Toaster"", ""Laundromat nearby"", ""Shampoo"", ""Clothing storage"", ""Body soap"", ""Hangers"", ""Noise decibel monitors on property"", ""Smoke alarm"", ""First aid kit"", ""Stove"", ""Fire extinguisher"", ""Coffee"", ""Freezer"", ""Free street parking"", ""Pack \u2019n play/Travel crib - always at the listing"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Portable air conditioning"", ""Shared backyard \u2013 Fully fenced""]",70.0,1,28,1,3,1125,1125,2.2,1125.0,1,13,39,69,344,654,77,6,67,66,255,17850.0,4.73,4.77,4.72,4.83,4.9,4.6,4.7,0,11,7.89,1,0,0,2537,57,0,0,3721,50
within an hour,100.0,100.0,1,5,5,1,1,SIXTH WARD,42.65235,-73.76714,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Air conditioning"", ""Heating"", ""Private entrance"", ""Coffee maker"", ""Oven"", ""Dishes and silverware"", ""Refrigerator"", ""Dishwasher"", ""Washer"", ""Outdoor furniture"", ""Cooking basics"", ""Essentials"", ""Microwave"", ""Bed linens"", ""Shower gel"", ""Extra pillows and blankets"", ""Wifi"", ""Kitchen"", ""Dining table"", ""TV with standard cable"", ""Baking sheet"", ""Carbon monoxide alarm"", ""Pets allowed"", ""Conditioner"", ""Shampoo"", ""Free parking on premises"", ""Body soap"", ""Hangers"", ""Smoke alarm"", ""Dryer"", ""Stove"", ""Freezer"", ""Iron"", ""Hair dryer"", ""Dedicated workspace"", ""Private patio or balcony""]",92.0,2,1125,1,5,1125,1125,4.2,1125.0,1,3,33,63,338,120,28,7,61,9,168,15456.0,4.68,4.86,4.8,4.83,4.59,4.8,4.67,0,5,1.43,1,0,0,2574,56,0,0,4127,50
